date,bikes_hired,Baseline,A,B,C,D,E
2014-02-19,21556,22667.30056827,24548.10237394,22907.05197371,23969.43865463,24692.11473687,26780.88072408
2014-02-20,19396,25094.14818108,27049.09437801,25449.54898583,24577.65000218,25008.46158044,25347.98477968
2014-02-21,21269,21656.11406293,22092.45022800,23337.09251660,23698.07008621,21295.11828939,21995.76882857
2014-02-22,20033,22768.41921880,20964.02196471,22239.21022719,22834.24113222,22896.04930923,24134.41423856
2014-02-23,13680,25296.38548215,21303.59419528,21295.63744828,19614.79888858,17578.59750992,19701.94268507
2014-02-24,21469,25599.74143375,25227.20590618,25572.77399083,25979.40856517,26074.78969894,27267.41666899
2014-02-25,20713,24184.08032627,26098.99524664,26164.73140983,25607.93227589,24111.65700008,25250.74649997
2014-02-26,23938,22262.82596613,24144.08942065,25103.54094270,26515.66084139,25034.43880278,25930.52568378
2014-02-27,20629,22363.94461667,24322.00694333,24838.84462582,25510.38270040,23667.87934110,24416.13657369
2014-02-28,13781,19937.09700385,20375.39517653,18779.37086638,17211.38852479,16193.19109089,20787.18551354
2014-03-01,18823,19937.09700385,18135.93129171,17772.10170266,19035.13649736,18891.65617862,20871.14606745
2014-03-02,11727,21858.35136400,17869.48409236,17448.65871677,18146.58429136,16786.95009643,18450.32995520
2014-03-03,18150,21049.40215973,20682.06018172,19575.79701662,20246.59040275,20178.74123538,21686.48291217
2014-03-04,23069,20948.28350919,22866.89162035,22824.27039010,24651.17729008,26230.14484426,28012.97874323
2014-03-05,25102,22262.82596613,24144.08942065,25386.14057475,29023.62878634,29619.85956924,29413.81929030
2014-03-06,24696,24184.08032627,26140.06523312,26167.79395132,28818.74284104,26717.80365140,27749.75920305
2014-03-07,24385,25296.38548215,25728.56680757,25732.57722355,29075.75361107,28765.27379821,25812.09819930
2014-03-08,25556,25903.09738535,24095.12235267,25356.69092303,26866.99945885,23337.72833507,23861.58118176
2014-03-09,33955,27824.35174549,23828.67515332,26426.06040938,29283.99153610,26911.97236556,26263.47064615
2014-03-10,24347,24082.96167574,23712.15733136,24125.52380486,25289.13514602,24213.43822199,26450.01166994
2014-03-11,23871,23274.01247147,25189.96610175,24783.66482296,25948.59212894,25204.70704778,26178.08633698
2014-03-12,27173,23678.48707361,25558.13475715,24995.55539655,30695.50027334,29774.74473909,29021.21072138
2014-03-13,27552,23981.84302521,25938.05875648,25318.11954347,30485.91131128,29915.41970588,29197.94138270
2014-03-14,28134,23577.36842307,24011.51175610,23960.48051782,30909.28470075,26584.73970443,24897.54390531
2014-03-15,29664,26914.28389069,25105.15473589,27364.45159386,28569.56715425,26662.30663677,27190.67021773
2014-03-16,34421,27622.11444442,23626.66867667,24829.51554541,26618.62945306,25952.19827557,27006.45935920
